ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10140490,HY329907,07-05-2015 23:50,050XX N NEWLAND AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1613,16,41,10,6,1129230,1933315,2015,07-12-2015 12:42,41.97330947,-87.800175,(41.973309466
10139776,HY329265,07-05-2015 23:30,011XX W MORSE AVE,460,BATTERY,SIMPLE,STREET,FALSE,TRUE,2431,24,49,1,08B,1167370,1946271,2015,07-12-2015 12:42,42.00812402,-87.65955018,(42.008124017
10140270,HY329253,07-05-2015 23:20,121XX S FRONT AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,532,,9,53,08B,,,2015,07-12-2015 12:42,,,
10139885,HY329308,07-05-2015 23:19,051XX W DIVISION ST,610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,FALSE,FALSE,1531,15,37,25,5,1141721,1907465,2015,07-12-2015 12:42,41.90215203,-87.7548834,(41.902152027
10140379,HY329556,07-05-2015 23:00,012XX W LAKE ST,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,FALSE,FALSE,1215,12,27,28,7,1168413,1901632,2015,07-12-2015 12:42,41.88561014,-87.6570087,(41.885610142
10140868,HY330421,07-05-2015 22:54,118XX S PEORIA ST,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,524,5,34,53,14,1172409,1826485,2015,07-12-2015 12:42,41.6793109,-87.64454521,(41.6793109
10139762,HY329232,07-05-2015 22:42,026XX W 37TH PL,1020,ARSON,BY FIRE,VACANT LOT/LAND,FALSE,FALSE,911,9,12,58,9,1159436,1879658,2015,07-12-2015 12:42,41.82550061,-87.69057804,(41.825500607
10139722,HY329228,07-05-2015 22:30,016XX S CENTRAL PARK AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,1021,10,24,29,18,1152687,1891389,2015,07-12-2015 12:42,41.85782781,-87.71502879,(41.857827814
10139774,HY329209,07-05-2015 22:15,048XX N ASHLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,2032,20,46,3,14,1164821,1932394,2015,07-12-2015 12:42,41.9700998,-87.66932438,(41.970099796
10139697,HY329177,07-05-2015 22:10,058XX S ARTESIAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,FALSE,FALSE,824,8,16,63,14,1160997,1865851,2015,07-12-2015 12:42,41.78758028,-87.68523308,(41.787580282
